id,Gender,Age_group,Concern_Type,Student_Concern,Solution,Department,Sub_Section
1,Female,21-25,Question,"Can I know my total semester payment for my 4th year 2nd semester, Faculty of Computing?","For the 4th year 2nd semester, Regular batch IT/ISE/IM students' amount is Rs.135000.  CSNE students' amount is Rs.145000. SE/DS/CS students' amount is Rs.150000. ",Student Services Department,Financial Office
2,Female,21-25,Question,"what is the total semester payment for 4th year 1st semester, Faculty of Computing?","For the 4th year 1st semester, June batch IT/ISE/IM students' amount is Rs.135000.  CSNE students' amount is Rs.145000. SE/DS/CS students' amount is Rs.150000. ",Student Services Department,Financial Office
3,Female,21-25,Question,"what is the total semester payment for 3rd year 2nd semester, Faculty of Computing?","For the 3rd year 2nd semester, Regular batch IT/ISE/IM students' amount is Rs.150000.  CSNE students' amount is Rs.160000. SE/DS/CS students' amount is Rs.175000. ",Student Services Department,Financial Office
4,Female,21-25,Question,"what is the total semester payment for 3rd year 1st semester, Faculty of Computing?","For the 3rd year 1st semester, June batch IT/ISE/IM students' amount is Rs.150000.  CSNE students' amount is Rs.160000. SE/DS/CS students' amount is Rs.175000. ",Student Services Department,Financial Office
5,Female,21-25,Question,"what is the total semester payment for 2nd year 2nd semester, Faculty of Computing?","For the 2nd year 2nd semester, Regular batch IT/ISE/SE/IM/DS students' amount is Rs.175000.  CSNE/CS students' amount is Rs.200000. ",Student Services Department,Financial Office
6,Female,21-25,Question,"what is the total semester payment for 2nd year 1st semester, Faculty of Computing?","For the 2nd year 1st semester, June batch IT/ISE/SE/IM/DS students' amount is Rs.175000.  CSNE/CS students' amount is Rs.200000. ",Student Services Department,Financial Office
7,Female,21-25,Question,Can I perform a bank transfer to pay the semester payment..?,"Students can do a bank transfer to pay the semester payment. Students can get more information through notices published via official information
source for students.",Student Services Department,Financial Office
8,Female,21-25,Question,"Can I get a relief for the payment..? 
",The parent or guardian of the student will have to personally meet the Manager Academic Affairs to get a relief for the semester fee.,Student Services Department,Financial Office
9,Female,21-25,Question,Who  I have to meet to discuss the relief of the semester payment..?,The parent or guardian of the student will have to personally meet the Manager Academic Affairs to get a relief for the semester fee.,Student Services Department,Financial Office
10,Male,21-25,Question,can i do my semester payments in installment basis..?,The parent or guardian of the student will have to personally meet the Manager Academic Affairs to complete the relevant agreement to do the semester fee in installment basis.,Student Services Department,Financial Office
11,Male,21-25,Question,Because of the pandemic it's hard to pay all amount in one time. So can we pay monthly wise ?,"Stil there's no any procedure to do the semester payment in monthly basis, but students can do it within multiple installments. The parent or guardian of the student will have to personally meet the Manager Academic Affairs to complete the relevant agreement to do the semester fee in installment basis.",Student Services Department,Financial Office
12,Female,21-25,Question,Can I do the semester payment in multiple installments?,Students can do the semester payment within multiple installments. The parent or guardian of the student will have to personally meet the Manager Academic Affairs to complete the relevant agreement to do the semester fee in installment basis.,Student Services Department,Financial Office
13,Male,21-25,Question,Can I reduce the semester fee ?,The parent or guardian of the student will have to personally meet the Manager Academic Affairs to get a reduction for the semester fee.,Student Services Department,Financial Office
14,Female,21-25,Request,Can you allocate a total subscription plan that helps do degree online?,We are still working on that. Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Financial Office
15,Male,21-25,Request,since we are doing the degree online can you reduce the fee?,We are still working on that. Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Financial Office
16,Male,21-25,Question,Can u give a discount for a semester payment..?,Students can do the semester payment within multiple installments. The parent or guardian of the student will have to personally meet the Manager Academic Affairs to complete the relevant agreement to do the semester fee in installment basis.,Student Services Department,Financial Office
17,Male,21-25,Request,Do you have any discount facilities ..?,Students can do the semester payment within multiple installments. The parent or guardian of the student will have to personally meet the Manager Academic Affairs to complete the relevant agreement to do the semester fee in installment basis.,Student Services Department,Financial Office
18,Female,21-25,Question,Can I do the payment through online?,Students can do the semester payment through online.,Student Services Department,Financial Office
19,Female,21-25,Question,Is university give any reduction for the semester fee ?,The parent or guardian of the student will have to personally meet the Manager Academic Affairs to get a reduction for the semester fee.,Student Services Department,Financial Office
20,Female,21-25,Question,Can you please waive off the installation charges?,"If you have any problems with the semester payment, the parent or guardian of the student will have to personally meet the Manager Academic Affairs to get a reduction for the semester fee.",Student Services Department,Financial Office
21,Male,21-25,Question,Can I get a discount for early payment ..?,Sorry. There is not any early payment discount option.,Student Services Department,Financial Office
22,Female,25-30,Question,Do I get a discount when I pay the full payment at once?,"Sorry. There is not any discount option, when do the full payment at once.",Student Services Department,Financial Office
23,Female,25-30,Question,Is it possible for me to settle the payment in six concessions ?,Students can do the semester payment within multiple installments. The parent or guardian of the student will have to personally meet the Manager Academic Affairs to complete the relevant agreement to do the semester fee in installment basis.,Student Services Department,Financial Office
24,Female,25-30,Question,"Can I do the semester payment in multiple installments using different banks..?

","Students can do the semester payment within two installments using a one bank. For, further clarrifications you can contact Financial Office.",Student Services Department,Financial Office
25,Female,25-30,Question,Can I pay course fee after the deadline?,"Students who fail to register during the registration period will be liable to pay a late processing fee and the applicable penalty fees. No registrations will be entertained beyond the expiry of the late registration period specified in the 
Registration Notice.",Student Services Department,Financial Office
26,Male,21-25,Question,"What is deadline for the semester registration ?
",The payment dates will be announced through notices published via official information source for students.,Student Services Department,Financial Office
27,Female,21-25,Question,"Can I get free payments if I'll achieve best performances in semester scholarships...? 
","If students achieve best performances in last semester, they can get free from the next semeter payment.",Student Services Department,Financial Office
28,Male,21-25,Question,Can we pay the semester payment online?,Students can do the semester payment through online.,Student Services Department,Financial Office
29,Female,21-25,Question,Can I do the semester payment at once? ,Students can do the semester payment at once.,Student Services Department,Financial Office
30,Female,21-25,Question,How long usually it takes to confirm the payment?,University takes maximum one day to confirm the semester payment.,Student Services Department,Financial Office
31,Female,21-25,Question,Can I do the semester payment by a loan..? ,University provides bank loan facilities to students to pay the semester payment.,Student Services Department,Financial Office
32,Male,21-25,Question,Can we get discounts for the semester payment considering the current pandemic situation..?,"If you have any problems with the semester payment. The parent or guardian of the student will have to personally meet the Manager Academic Affairs to complete the relevant agreement to do the semester fee in installment basis. For, further clarrifications you can contact Financial Office.",Student Services Department,Financial Office
33,Female,21-25,Question,What happens if semester payment got delayed? ,"Students who fail to register during the registration period will be liable to pay a late processing fee and the applicable penalty fees. No registrations will be entertained beyond the expiry of the late registration period specified in the 
Registration Notice.",Student Services Department,Financial Office
34,Female,21-25,Question,If a student has difficulties to pay the semester fee. Are their any loan facilities to pay the semester fee..?,University provides bank loan facilities to students to pay the semester payment.,Student Services Department,Financial Office
35,Female,21-25,Question,Can I have discounts for semester payments for the best achievements...?,"If students achieve best performances in last semester, they can get free from the next semeter payment.",Student Services Department,Financial Office
36,Female,21-25,Question,If I pay semester payment at once will I get discounts for the full payment...?,Sorry. There is not any discount option for the semester payment.,Student Services Department,Financial Office
37,Female,21-25,Question,"If I follow more courses, will I get discounted semester payments...? ",Sorry. There is not any discount option for the semester payment.,Student Services Department,Financial Office
38,Male,21-25,Question,"Whom should I inform, if I forgot to register after payment is made..?",Any problems associated with the registration for a semester should be resolved prior to or during the registration period. A student whose name does not appear in the Class Attendance Lists is considered to have not been registered for the given semester. Such students should immediately contact the Student Help Desk to complete their registration.,Student Services Department,Financial Office
39,Male,21-25,Question,How to calculate this semester pament what is the method using for it..?,"Students can refer the payment document using the course web. Payment document has all the information about the semester payments for each year, each semester according to the relevant specialization.",Student Services Department,Financial Office
40,Female,21-25,Question,If a student has difficulties to pay the semester fee. Are their any facilities to do the semester fee in multiple installments..?,Students can do the semester payment within multiple installments. The parent or guardian of the student will have to personally meet the Manager Academic Affairs to complete the relevant agreement to do the semester fee in installment basis.,Student Services Department,Financial Office
41,Female,21-25,Question,Can I get  a scholarship considering my extra curricular activities ..?,"There's no any option yet, but we will direct it to the relevant section of the department.",Student Services Department,Financial Office
42,Female,21-25,Request,It is good to have a option to provide scholarship to students considering the extra curricular activities,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Financial Office
