id,Gender,Age group,Concern_Type,Student_Concern,Solution,Department,Sub_Section
1,Female,21-25,Question,What is the total semester payment for 4th year 2nd semester faculty of Computing?,"For the 4th year 2nd semester, Regular batch IT/ISE/IM students' amount is Rs.135000.  CSNE students' amount is Rs.145000. SE/DS/CS students' amount is Rs.150000. ",Student Services Department,Financial Office
2,Female,21-25,Question,Can I know about the next year semester fee for 4th year 2nd semester faculty of Computing students?,"For the 4th year 2nd semester, Regular batch IT/ISE/IM students' amount is Rs.135000.  CSNE students' amount is Rs.145000. SE/DS/CS students' amount is Rs.150000. ",Student Services Department,Financial Office
3,Female,21-25,Question,What is the fee for 4th year 2nd semester faculty of Computing students?,"For the 4th year 2nd semester, Regular batch IT/ISE/IM students' amount is Rs.135000.  CSNE students' amount is Rs.145000. SE/DS/CS students' amount is Rs.150000. ",Student Services Department,Financial Office
4,Female,21-25,Question,"what is the total semester payment for 4th year 1st semester, Faculty of Computing?","For the 4th year 1st semester, June batch IT/ISE/IM students' amount is Rs.135000.  CSNE students' amount is Rs.145000. SE/DS/CS students' amount is Rs.150000. ",Student Services Department,Financial Office
5,Female,21-25,Question,can I know the total semester payment for 4th year 1st semester Faculty of Computing?,"For the 4th year 1st semester, June batch IT/ISE/IM students' amount is Rs.135000.  CSNE students' amount is Rs.145000. SE/DS/CS students' amount is Rs.150000. ",Student Services Department,Financial Office
6,Female,21-25,Question,What is the fee for 4th year 1st semester Faculty of Computing?,"For the 4th year 1st semester, June batch IT/ISE/IM students' amount is Rs.135000.  CSNE students' amount is Rs.145000. SE/DS/CS students' amount is Rs.150000. ",Student Services Department,Financial Office
7,Female,21-25,Question,"what is the total semester payment for 3rd year 2nd semester, Faculty of Computing?","For the 3rd year 2nd semester, Regular batch IT/ISE/IM students' amount is Rs.150000.  CSNE students' amount is Rs.160000. SE/DS/CS students' amount is Rs.175000. ",Student Services Department,Financial Office
8,Female,21-25,Question,can I know the total semester payment for 3rd year 2nd semester Faculty of Computing?,"For the 3rd year 2nd semester, Regular batch IT/ISE/IM students' amount is Rs.150000.  CSNE students' amount is Rs.160000. SE/DS/CS students' amount is Rs.175000. ",Student Services Department,Financial Office
9,Female,21-25,Question,What is the fee for 3rd year 2nd semester Faculty of Computing?,"For the 3rd year 2nd semester, Regular batch IT/ISE/IM students' amount is Rs.150000.  CSNE students' amount is Rs.160000. SE/DS/CS students' amount is Rs.175000. ",Student Services Department,Financial Office
10,Male,21-25,Question,"what is the total semester payment for 3rd year 1st semester, Faculty of Computing?","For the 3rd year 1st semester, June batch IT/ISE/IM students' amount is Rs.150000.  CSNE students' amount is Rs.160000. SE/DS/CS students' amount is Rs.175000. ",Student Services Department,Financial Office
